course_year,age,study_hours_weekly_5-10,"physical_activity_Music/Arts, Clubs/Hobbies",class_absences_Often,course_year_4,course_year_3,financial_support,living_situation,father_education,study_hours_weekly,peer_support_Rarely,study_hours_weekly_<5,financial_support_Partially,class_absences,gpa
2,18,False,False,False,False,False,Partially,Rented apartment,Secondary,>20,False,False,True,Sometimes,3.0
Masters,20,True,False,True,False,False,Fully,Rented apartment,Higher,5-10,False,False,False,Often,3.93
4,26,False,False,False,True,False,Partially,Rented apartment,Vocational,10-20,False,False,True,Almost never,2.7
4,21,False,False,True,True,False,Partially,With parents,Vocational,<5,True,True,True,Often,2.0
4,21,True,False,False,True,False,No,Rented apartment,Higher,5-10,False,False,False,Very often,2.99
4,20,True,False,True,True,False,Partially,Rented apartment,Higher,5-10,False,False,True,Often,3.61
4,20,False,False,False,True,False,No,Other,Vocational,10-20,False,False,False,Almost never,3.44
3,19,False,False,False,False,True,Partially,Rented apartment,Vocational,<5,False,True,True,Sometimes,2.9
4,19,True,False,False,True,False,Partially,With parents,Higher,5-10,False,False,True,Sometimes,3.45
2,19,False,False,False,False,False,Fully,Other,Masters+,>20,False,False,False,Sometimes,3.5
4,21,False,False,False,True,False,No,With parents,Higher,>20,False,False,False,Sometimes,3.5
4,22,False,False,False,True,False,Partially,Rented apartment,Higher,<5,False,True,True,Sometimes,2.9
4,20,True,False,False,True,False,Partially,Rented apartment,Secondary,5-10,False,False,True,Sometimes,3.2
2,18,True,False,False,False,False,Partially,With parents,Secondary,5-10,False,False,True,Sometimes,2.95
4,21,True,False,False,True,False,Partially,With parents,Higher,5-10,False,False,True,Sometimes,3.1
3,18,True,False,False,False,True,Fully,With parents,Higher,5-10,False,False,False,Sometimes,2.68
3,19,False,False,False,False,True,Partially,With parents,Vocational,10-20,False,False,True,Almost never,3.2
4,20,False,False,False,True,False,Partially,Rented apartment,Masters+,<5,False,True,True,Sometimes,3.51
4,20,False,False,False,True,False,Fully,With parents,Masters+,<5,False,True,False,Almost never,3.58
3,19,True,False,False,False,True,Fully,Dormitory,Higher,5-10,False,False,False,Sometimes,3.0
4,20,False,True,True,True,False,Partially,With parents,Vocational,10-20,False,False,True,Often,3.09
4,20,False,False,False,True,False,No,Dormitory,Secondary,<5,False,True,False,Almost never,4.0
4,20,False,False,False,True,False,Partially,Dormitory,Vocational,>20,False,False,True,Sometimes,3.41
4,21,False,False,False,True,False,Fully,With parents,Higher,10-20,False,False,False,Sometimes,3.1
Masters,25,True,False,False,False,False,Fully,With parents,Higher,5-10,False,False,False,Sometimes,3.62
4,24,False,False,False,True,False,No,Rented apartment,Higher,<5,False,True,False,Very often,3.5
4,22,False,False,False,True,False,No,Rented apartment,Higher,10-20,True,False,False,Almost never,4.0
2,18,False,False,False,False,False,Fully,Rented apartment,Higher,10-20,True,False,False,Sometimes,2.46
4,21,False,False,False,True,False,Partially,Rented apartment,Higher,<5,False,True,True,Very often,2.8
4,21,True,False,True,True,False,Partially,Rented apartment,Vocational,5-10,False,False,True,Often,3.35
1,18,True,False,False,False,False,Fully,Dormitory,Vocational,5-10,False,False,False,Almost never,3.4
1,18,False,False,False,False,False,Fully,Dormitory,Secondary,<5,False,True,False,Almost never,3.4
1,17,False,False,False,False,False,Fully,Dormitory,Higher,>20,False,False,False,Almost never,0.0
2,20,False,True,False,False,False,Partially,With parents,Vocational,10-20,False,False,True,Sometimes,3.1
2,19,False,False,False,False,False,Fully,Dormitory,Vocational,10-20,False,False,False,Almost never,3.67
1,17,False,False,False,False,False,Fully,Rented apartment,Higher,10-20,True,False,False,Almost never,3.0
1,17,False,True,False,False,False,Fully,With parents,Higher,10-20,True,False,False,Almost never,0.0
2,19,False,False,False,False,False,Partially,Dormitory,Secondary,>20,False,False,True,Almost never,3.7
4,20,True,False,False,True,False,Fully,With parents,Vocational,5-10,False,False,False,Sometimes,3.81
4,20,True,False,False,True,False,Partially,With parents,Vocational,5-10,False,False,True,Sometimes,3.77
4,21,True,False,False,True,False,Partially,With parents,Higher,5-10,False,False,True,Sometimes,3.7
4,20,True,False,False,True,False,Partially,With parents,Secondary,5-10,False,False,True,Almost never,3.0
4,20,False,False,False,True,False,Partially,With parents,Secondary,10-20,False,False,True,Almost never,3.65
1,18,True,False,False,False,False,Fully,With parents,Masters+,5-10,False,False,False,Almost never,3.0
1,18,False,False,False,False,False,Partially,Dormitory,Secondary,10-20,False,False,True,Almost never,3.67
4,20,True,False,False,True,False,Fully,Rented apartment,Secondary,5-10,False,False,False,Sometimes,3.2
4,22,False,False,False,True,False,Partially,Dormitory,Higher,10-20,False,False,True,Sometimes,3.1
4,20,False,False,True,True,False,Partially,Dormitory,Vocational,>20,True,False,True,Often,1.6
1,18,False,False,False,False,False,Fully,Other,Higher,10-20,False,False,False,Almost never,0.0
4,22,False,False,False,True,False,Partially,Other,Higher,10-20,False,False,True,Almost never,3.36
4,20,False,False,False,True,False,Fully,With parents,Higher,>20,False,False,False,Sometimes,3.47
4,17,False,False,False,True,False,Fully,Other,Secondary,10-20,True,False,False,Almost never,4.0
4,19,True,False,False,True,False,Partially,With parents,Higher,5-10,False,False,True,Sometimes,2.8
4,20,True,False,False,True,False,Fully,Rented apartment,Higher,5-10,False,False,False,Sometimes,3.17
2,19,True,False,False,False,False,Fully,With parents,Higher,5-10,False,False,False,Almost never,3.0
3,20,False,False,False,False,True,Partially,Dormitory,Vocational,10-20,False,False,True,Sometimes,3.0
4,21,False,False,False,True,False,Fully,Rented apartment,Higher,<5,False,True,False,Sometimes,2.8
2,19,True,False,False,False,False,Partially,Rented apartment,Higher,5-10,False,False,True,Almost never,3.8
3,19,False,False,False,False,True,Partially,Dormitory,Secondary,>20,False,False,True,Very often,2.17
3,19,False,False,False,False,True,Fully,Rented apartment,Vocational,10-20,False,False,False,Almost never,3.8
4,21,True,False,False,True,False,Partially,With parents,Higher,5-10,False,False,True,Sometimes,3.7
4,21,True,False,False,True,False,Fully,Rented apartment,Masters+,5-10,False,False,False,Sometimes,3.5
3,20,False,False,False,False,True,Fully,Rented apartment,Secondary,<5,False,True,False,Sometimes,3.6
4,20,True,False,False,True,False,No,Rented apartment,Higher,5-10,False,False,False,Very often,3.56
2,19,False,False,True,False,False,Partially,With parents,Higher,<5,False,True,True,Often,2.67
4,20,False,False,False,True,False,Fully,With parents,Higher,10-20,False,False,False,Sometimes,3.78
4,20,True,False,False,True,False,Partially,With parents,Higher,5-10,False,False,True,Almost never,3.5
4,20,False,False,False,True,False,Fully,With parents,Secondary,<5,False,True,False,Almost never,3.0
4,21,False,False,False,True,False,Fully,Rented apartment,Higher,<5,False,True,False,Sometimes,2.89
4,21,True,False,False,True,False,Fully,With parents,Higher,5-10,False,False,False,Almost never,3.5
4,21,True,False,True,True,False,Fully,With parents,Higher,5-10,False,False,False,Often,3.95
4,21,False,False,False,True,False,Partially,With parents,Higher,<5,False,True,True,Almost never,3.84
4,21,True,False,False,True,False,Partially,With parents,Vocational,5-10,False,False,True,Almost never,3.75
4,19,True,False,False,True,False,Fully,With parents,Higher,5-10,False,False,False,Sometimes,3.5
5,21,True,False,False,False,False,Partially,Dormitory,Vocational,5-10,False,False,True,Almost never,3.5
3,23,False,False,False,False,True,Partially,With parents,Masters+,10-20,False,False,True,Almost never,2.7
4,21,True,False,False,True,False,Partially,Other,Secondary,5-10,False,False,True,Sometimes,3.39
4,20,True,False,False,True,False,Fully,Rented apartment,Higher,5-10,False,False,False,Sometimes,3.0
1,16,False,False,False,False,False,Partially,With parents,Higher,<5,False,True,True,Almost never,3.5
2,19,False,False,False,False,False,No,With parents,Secondary,<5,False,True,False,Very often,2.2
4,20,True,False,True,True,False,Fully,With parents,Higher,5-10,False,False,False,Often,3.2
4,21,False,False,False,True,False,Partially,Rented apartment,Higher,<5,True,True,True,Sometimes,3.22
2,19,False,False,False,False,False,Fully,Dormitory,Higher,>20,False,False,False,Almost never,3.25
Masters,23,True,False,False,False,False,Fully,Rented apartment,Masters+,5-10,False,False,False,Sometimes,2.5
1,18,False,False,False,False,False,Fully,Rented apartment,Masters+,10-20,False,False,False,Sometimes,4.0
3,19,False,False,False,False,True,Fully,With parents,Vocational,<5,False,True,False,Sometimes,2.1
3,19,False,False,False,False,True,Fully,Rented apartment,Secondary,<5,True,True,False,Sometimes,2.64
3,20,False,False,False,False,True,Fully,Dormitory,Secondary,>20,False,False,False,Sometimes,2.4
3,19,False,False,False,False,True,Fully,Other,Masters+,<5,True,True,False,Almost never,2.7
3,19,False,False,False,False,True,Fully,Dormitory,Secondary,10-20,False,False,False,Sometimes,2.0
2,19,False,False,False,False,False,Fully,Rented apartment,Higher,<5,False,True,False,Sometimes,2.7
2,18,False,False,False,False,False,No,Rented apartment,Secondary,10-20,False,False,False,Almost never,3.08
2,19,False,False,False,False,False,Fully,Other,Higher,<5,True,True,False,Almost never,3.27
3,19,False,False,False,False,True,Fully,Dormitory,Higher,<5,False,True,False,Almost never,2.67
4,21,True,False,True,True,False,Partially,Rented apartment,Vocational,5-10,False,False,True,Often,3.14
1,50,False,False,False,False,False,No,Other,Secondary,<5,False,True,False,Very often,3.5
4,20,False,False,False,True,False,Fully,Rented apartment,Higher,>20,False,False,False,Almost never,3.0
4,20,False,False,True,True,False,Fully,Rented apartment,Vocational,<5,False,True,False,Often,2.89
2,19,False,False,False,False,False,Fully,Rented apartment,Vocational,>20,False,False,False,Almost never,3.5
4,20,True,False,True,True,False,Partially,With parents,Higher,5-10,False,False,True,Often,3.75
3,21,False,False,False,False,True,Partially,With parents,Vocational,>20,False,False,True,Sometimes,3.4
2,19,True,False,False,False,False,Partially,With parents,Higher,5-10,False,False,True,Sometimes,3.2
3,20,True,False,False,False,True,Fully,With parents,Higher,5-10,False,False,False,Sometimes,3.6
