course_year,age,family_size,study_space_comfort,health_status,academic_failures,gpa
2,18,5,5,3,1.0,3.0
Masters,20,6,5,4,2.0,3.93
4,26,3,2,3,2.0,2.7
4,21,8,4,2,,2.0
4,21,6,5,3,2.0,2.99
4,20,6,5,4,0.0,3.61
4,20,5,5,3,1.0,3.44
3,19,5,4,4,0.0,2.9
4,19,4,5,5,0.0,3.45
2,19,4,5,5,1.0,3.5
4,21,7,5,3,0.0,3.5
4,22,2,5,2,2.0,2.9
4,20,6,3,3,1.0,3.2
2,18,6,5,3,0.0,2.95
4,21,3,4,5,0.0,3.1
3,18,7,4,3,2.0,2.68
3,19,4,4,3,1.0,3.2
4,20,7,4,4,0.0,3.51
4,20,5,5,5,0.0,3.58
3,19,7,3,3,2.0,3.0
4,20,9,4,3,2.0,3.09
4,20,4,3,4,0.0,4.0
4,20,2,4,4,0.0,3.41
4,21,6,4,4,2.0,3.1
Masters,25,4,3,3,0.0,3.62
4,24,5,5,2,1.0,3.5
4,22,3,4,2,0.0,4.0
2,18,5,2,3,1.0,2.46
4,21,5,4,3,2.0,2.8
4,21,5,4,4,0.0,3.35
1,18,6,1,5,0.0,3.4
1,18,6,5,5,0.0,3.4
1,17,4,4,3,0.0,0.0
2,20,6,5,4,0.0,3.1
2,19,3,4,5,1.0,3.67
1,17,4,2,3,0.0,3.0
1,17,7,5,4,0.0,0.0
2,19,2,3,3,0.0,3.7
4,20,6,5,4,1.0,3.81
4,20,5,4,3,0.0,3.77
4,21,3,4,4,0.0,3.7
4,20,7,5,3,2.0,3.0
4,20,6,3,3,0.0,3.65
1,18,6,2,4,0.0,3.0
1,18,7,3,4,0.0,3.67
4,20,5,3,3,0.0,3.2
4,22,9,3,4,1.0,3.1
4,20,6,4,3,,1.6
1,18,5,4,4,0.0,0.0
4,22,5,4,4,0.0,3.36
4,20,6,5,5,,3.47
4,17,3,2,1,,4.0
4,19,3,5,5,0.0,2.8
4,20,6,3,4,0.0,3.17
2,19,5,5,5,0.0,3.0
3,20,4,3,3,2.0,3.0
4,21,3,5,5,2.0,2.8
2,19,7,4,4,1.0,3.8
3,19,7,4,5,,2.17
3,19,9,5,2,0.0,3.8
4,21,5,4,4,0.0,3.7
4,21,6,4,4,0.0,3.5
3,20,7,4,3,0.0,3.6
4,20,7,3,3,0.0,3.56
2,19,3,3,4,0.0,2.67
4,20,5,5,5,0.0,3.78
4,20,4,5,4,0.0,3.5
4,20,6,5,5,0.0,3.0
4,21,7,3,3,,2.89
4,21,7,1,5,1.0,3.5
4,21,4,5,5,0.0,3.95
4,21,7,4,4,0.0,3.84
4,21,4,3,4,0.0,3.75
4,19,4,4,4,1.0,3.5
5,21,5,3,3,2.0,3.5
3,23,3,4,2,0.0,2.7
4,21,17,5,3,0.0,3.39
4,20,4,4,2,1.0,3.0
1,16,3,5,5,0.0,3.5
2,19,5,3,2,,2.2
4,20,5,5,4,0.0,3.2
4,21,7,3,4,,3.22
2,19,6,3,5,0.0,3.25
Masters,23,3,5,5,,2.5
1,18,9,4,4,0.0,4.0
3,19,6,3,4,,2.1
3,19,5,5,4,,2.64
3,20,8,5,5,,2.4
3,19,9,5,4,,2.7
3,19,5,4,5,,2.0
2,19,8,3,3,0.0,2.7
2,18,5,1,5,0.0,3.08
2,19,6,3,3,2.0,3.27
3,19,7,4,3,1.0,2.67
4,21,5,5,5,1.0,3.14
1,50,20,3,1,0.0,3.5
4,20,6,5,5,1.0,3.0
4,20,5,3,4,1.0,2.89
2,19,6,4,4,1.0,3.5
4,20,10,4,4,0.0,3.75
3,21,7,4,4,2.0,3.4
2,19,6,3,4,2.0,3.2
3,20,5,4,3,0.0,3.6
3,19,5,4,4,1.0,3.6
4,20,9,4,3,1.0,3.03
1,17,7,5,3,0.0,3.8
4,21,3,3,3,0.0,3.39
5,22,5,4,4,0.0,3.0
4,21,5,3,4,0.0,3.35
4,23,8,1,2,,1.5
Masters,20,3,5,5,0.0,3.1
2,19,5,5,4,0.0,3.6
2,19,5,4,3,1.0,3.2
1,18,9,5,3,0.0,2.8
3,19,9,5,5,1.0,2.97
3,19,6,3,4,,1.6
3,19,5,4,4,1.0,2.95
3,22,8,5,4,,2.0
Masters,25,6,4,5,1.0,3.4
2,20,5,4,3,0.0,3.5
4,21,5,4,4,0.0,3.3
